"subject"	"bold"	"column"
14	3	"Translation_BV.X_mm"
14	4	"Translation_BV.X_mm"
14	4	"Rotation_BV.X_deg"
14	5	"Translation_BV.X_mm"
18	4	"Translation_BV.Z_mm"
18	5	"Translation_BV.Z_mm"
18	6	"Translation_BV.Z_mm"
115	4	"Translation_BV.Z_mm"
121	1	"Rotation_BV.X_deg"
2	5	"X.rotation..deg."
2	6	"Z.translation..mm."
2	6	"X.rotation..deg."
